CGG_NM,STDG_NM,score
종로구,옥인동,0.0004341400437058926
종로구,홍지동,0.0004341400437058926
마포구,하중동,0.0004341400437058926
용산구,서빙고동,0.00040629729148450826
중구,입정동,0.00023099139796363844
서초구,염곡동,0.00023099139796363844
종로구,사직동,0.00023099139796363844
종로구,청운동,0.00023099139796363844
용산구,신창동,0.00023099139796363844
중구,황학동,-0.00038842969447760913
중구,삼각동,-0.0004268599275972231
종로구,묘동,-0.0004268599275972231
중구,서소문동,-0.0004471141155805384
마포구,마포동,-0.0006578513255608616
종로구,재동,-0.0006578513255608616
종로구,충신동,-0.0006578513255608616
관악구,남현동,-0.0008209674144172233
강서구,외발산동,-0.0008888427235245
종로구,송월동,-0.0009166854757458843
서대문구,미근동,-0.0010847112531580847
중구,정동,-0.0011198341214881384
중구,예관동,-0.0011198341214881384
중구,흥인동,-0.0011864478818057024
종로구,수송동,-0.001938431108352531
중구,수하동,-0.0019735539766825845
용산구,갈월동,-0.002112459289660108
종로구,평창동,-0.002761091970944511
용산구,남영동,-0.0028623967002070847
종로구,교남동,-0.0029253623207585225
강서구,공항동,-0.003112673022070146
중구,남학동,-0.003359502364464415
종로구,내수동,-0.003779082175952969
종로구,인사동,-0.004017353690025277
종로구,와룡동,-0.004017353690025277
종로구,공평동,-0.004017353690025277
종로구,운니동,-0.004248345087988915
중구,무학동,-0.004871073545219723
종로구,도렴동,-0.005137187811513415
동대문구,장안동,-0.005474166893263681
종로구,교북동,-0.0054928327383666365
종로구,익선동,-0.005599170607440692
중구,무교동,-0.0056545476637540615
종로구,관훈동,-0.006257021933001553
중구,수표동,-0.0071737074087474375
종로구,견지동,-0.0073417331861596385
종로구,원남동,-0.007838838850416968
종로구,장사동,-0.007838838850416968
종로구,돈의동,-0.010736358418954107
중구,주교동,-0.010736358418954107
중구,중림동,-0.011827072076007568
종로구,낙원동,-0.012059665797737483
종로구,연지동,-0.012976026661930384
용산구,동자동,-0.015642554832503885
종로구,관수동,-0.0181132144734438
중구,초동,-0.018771065799004664
종로구,관철동,-0.023004850654776237
마포구,노고산동,-0.023776134968646064
종로구,당주동,-0.025881807587200656
마포구,도화동,-0.026018280927007233
종로구,효제동,-0.026147921853494353
종로구,청진동,-0.027855361563883244
구로구,오류동,-0.03300370837035915
서대문구,창천동,-0.03445476206715754
중구,다동,-0.03599543754892396
영등포구,영등포동,-0.1087859039390953
중구,북창동,-0.10928176110991028
영등포구,여의도동,-0.11554787859595206
강남구,역삼동,-0.14109217601651708
관악구,신림동,-0.16807628405784295
